"tourn_id","team","qgp","qw","qd","ql","qp","qpp","qop","qopp","qgf","qga","qgd","fgp","fw","fd","fl","fp","fpp","fop","fopp","fgf","fga","fgd","hd","cd"
"wc_1930","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,0,1,12,0.8,8,0.8,18,9,9,0,0
"wc_1930","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,0,4,-4,0,0
"wc_1930","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,0,8,-8,0,0
"wc_1930","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,3,0.5,2,0.5,5,2,3,0,0
"wc_1930","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,1,6,0.666666666666667,4,0.666666666666667,5,3,2,0,0
"wc_1930","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,3,1,0,0
"wc_1930","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,0,0,0,4,13,-9,0,0
"wc_1930","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,3,0.5,2,0.5,1,3,-2,0,0
"wc_1930","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,0,0,0,0,1,4,-3,0,0
"wc_1930","Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,3,0.5,2,0.5,3,5,-2,0,0
"wc_1930","Serbia/Yugoslavia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,1,6,0.666666666666667,4,0.666666666666667,7,7,0,0,0
"wc_1930","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,12,1,8,1,15,3,12,1,1
"wc_1930","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,0,1,6,0.666666666666667,4,0.666666666666667,7,6,1,0,0
"wc_1934","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,2,3,-1,0,0
"wc_1934","Austria",1,1,0,0,3,1,2,1,6,1,5,4,2,0,2,6,0.5,4,0.5,7,7,0,0,0
"wc_1934","Belgium",2,0,1,1,1,0.166666666666667,1,0.25,6,8,-2,1,0,0,1,0,0,0,0,2,5,-3,0,0
"wc_1934","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,1,3,-2,0,0
"wc_1934","Czech Republic/CSFR",1,1,0,0,3,1,2,1,2,1,1,4,3,0,1,9,0.75,6,0.75,9,6,3,0,0
"wc_1934","Egypt",2,2,0,0,6,1,4,1,11,2,9,1,0,0,1,0,0,0,0,2,4,-2,0,0
"wc_1934","France",1,1,0,0,3,1,2,1,6,1,5,1,0,0,1,0,0,0,0,2,3,-1,0,0
"wc_1934","Germany",1,1,0,0,3,1,2,1,9,1,8,4,3,0,1,9,0.75,6,0.75,11,8,3,0,0
"wc_1934","Hungary",2,2,0,0,6,1,4,1,8,2,6,2,1,0,1,3,0.5,2,0.5,5,4,1,0,0
"wc_1934","Italy",1,1,0,0,3,1,2,1,4,0,4,5,4,1,0,13,0.866666666666667,9,0.9,12,3,9,1,1
"wc_1934","Netherlands",2,2,0,0,6,1,4,1,9,4,5,1,0,0,1,0,0,0,0,2,3,-1,0,0
"wc_1934","Romania",1,1,0,0,3,1,2,1,2,1,1,1,0,0,1,0,0,0,0,1,2,-1,0,0
"wc_1934","Spain",2,2,0,0,6,1,4,1,11,1,10,3,1,1,1,4,0.444444444444444,3,0.5,4,3,1,0,0
"wc_1934","Sweden",2,2,0,0,6,1,4,1,8,2,6,2,1,0,1,3,0.5,2,0.5,4,4,0,0,0
"wc_1934","Switzerland",1,0,1,0,1,0.333333333333333,1,0.5,2,2,0,2,1,0,1,3,0.5,2,0.5,5,5,0,0,0
"wc_1934","USA",1,1,0,0,3,1,2,1,4,2,2,1,0,0,1,0,0,0,0,1,7,-6,0,0
"wc_1938","Belgium",2,1,1,0,4,0.666666666666667,3,0.75,4,3,1,1,0,0,1,0,0,0,0,1,3,-2,0,0
"wc_1938","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,1,10,0.666666666666667,7,0.7,14,11,3,0,0
"wc_1938","Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,4,0.444444444444444,3,0.5,5,12,-7,0,0
"wc_1938","Czech Republic/CSFR",2,1,1,0,4,0.666666666666667,3,0.75,7,1,6,3,1,1,1,4,0.444444444444444,3,0.5,5,3,2,0,0
"wc_1938","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,3,0.5,2,0.5,4,4,0,1,0
"wc_1938","Germany",3,3,0,0,9,1,6,1,11,1,10,2,0,1,1,1,0.166666666666667,1,0.25,3,5,-2,0,0
"wc_1938","Hungary",1,1,0,0,3,1,2,1,11,1,10,4,3,0,1,9,0.75,6,0.75,15,5,10,0,0
"wc_1938","Indonesia/Nether. Indies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,6,-6,0,0
"wc_1938","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,12,1,8,1,11,5,6,0,1
"wc_1938","Netherlands",2,1,1,0,4,0.666666666666667,3,0.75,5,1,4,1,0,0,1,0,0,0,0,0,3,-3,0,0
"wc_1938","Norway",2,1,1,0,4,0.666666666666667,3,0.75,6,5,1,1,0,0,1,0,0,0,0,1,2,-1,0,0
"wc_1938","Poland",2,1,0,1,3,0.5,2,0.5,4,1,3,1,0,0,1,0,0,0,0,5,6,-1,0,0
"wc_1938","Romania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,1,0.166666666666667,1,0.25,4,5,-1,0,0
"wc_1938","Sweden",3,2,0,1,6,0.666666666666667,4,0.666666666666667,11,7,4,3,1,0,2,3,0.333333333333333,2,0.333333333333333,11,9,2,0,0
"wc_1938","Switzerland",1,1,0,0,3,1,2,1,2,1,1,3,1,1,1,4,0.444444444444444,3,0.5,5,5,0,0,0
"wc_1950","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,8,-8,0,0
"wc_1950","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,1,13,0.722222222222222,9,0.75,22,6,16,1,0
"wc_1950","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,2,3,0.333333333333333,2,0.333333333333333,5,6,-1,0,0
"wc_1950","England",3,3,0,0,9,1,6,1,14,3,11,3,1,0,2,3,0.333333333333333,2,0.333333333333333,2,2,0,0,0
"wc_1950","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1,3,0.5,2,0.5,4,3,1,0,0
"wc_1950","Mexico",4,4,0,0,12,1,8,1,17,2,15,3,0,0,3,0,0,0,0,2,10,-8,0,0
"wc_1950","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,1,0.166666666666667,1,0.25,2,4,-2,0,0
"wc_1950","Serbia/Yugoslavia",5,3,2,0,11,0.733333333333333,8,0.8,16,6,10,3,2,0,1,6,0.666666666666667,4,0.666666666666667,7,3,4,0,0
"wc_1950","Spain",2,1,1,0,4,0.666666666666667,3,0.75,7,3,4,6,3,1,2,10,0.555555555555556,7,0.583333333333333,10,12,-2,0,0
"wc_1950","Sweden",3,3,0,0,9,1,6,1,14,3,11,5,2,1,2,7,0.466666666666667,5,0.5,11,15,-4,0,0
"wc_1950","Switzerland",2,2,0,0,6,1,4,1,8,4,4,3,1,1,1,4,0.444444444444444,3,0.5,4,6,-2,0,0
"wc_1950","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,10,0.833333333333333,7,0.875,15,5,10,0,1
"wc_1950","USA",4,1,1,2,4,0.333333333333333,3,0.375,8,15,-7,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,8,-4,0,0
"wc_1954","Austria",2,1,1,0,4,0.666666666666667,3,0.75,9,1,8,5,4,0,1,12,0.8,8,0.8,17,12,5,0,0
"wc_1954","Belgium",4,3,1,0,10,0.833333333333333,7,0.875,11,6,5,2,0,1,1,1,0.166666666666667,1,0.25,5,8,-3,0,0
"wc_1954","Brazil",4,4,0,0,12,1,8,1,8,1,7,3,1,1,1,4,0.444444444444444,3,0.5,8,5,3,0,0
"wc_1954","Czech Republic/CSFR",4,3,1,0,10,0.833333333333333,7,0.875,5,1,4,2,0,0,2,0,0,0,0,0,7,-7,0,0
"wc_1954","England",3,3,0,0,9,1,6,1,11,4,7,3,1,1,1,4,0.444444444444444,3,0.5,8,8,0,0,0
"wc_1954","France",4,4,0,0,12,1,8,1,20,4,16,2,1,0,1,3,0.5,2,0.5,3,3,0,0,0
"wc_1954","Germany",4,3,1,0,10,0.833333333333333,7,0.875,12,3,9,6,5,0,1,15,0.833333333333333,10,0.833333333333333,25,14,11,0,1
"wc_1954","Hungary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,0,1,12,0.8,8,0.8,27,10,17,0,0
"wc_1954","Italy",2,2,0,0,6,1,4,1,7,2,5,3,1,0,2,3,0.333333333333333,2,0.333333333333333,6,7,-1,0,0
"wc_1954","Mexico",4,4,0,0,12,1,8,1,19,1,18,2,0,0,2,0,0,0,0,2,8,-6,0,0
"wc_1954","Scotland",3,1,1,1,4,0.444444444444444,3,0.5,8,8,0,2,0,0,2,0,0,0,0,0,8,-8,0,0
"wc_1954","Serbia/Yugoslavia",4,4,0,0,12,1,8,1,4,0,4,3,1,1,1,4,0.444444444444444,3,0.5,2,3,-1,0,0
"wc_1954","South Korea",2,1,1,0,4,0.666666666666667,3,0.75,7,3,4,2,0,0,2,0,0,0,0,0,16,-16,0,0
"wc_1954","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,2,6,0.5,4,0.5,11,11,0,1,0
"wc_1954","Turkey",3,1,1,1,4,0.444444444444444,3,0.5,4,6,-2,3,1,0,2,3,0.333333333333333,2,0.333333333333333,10,11,-1,0,0
"wc_1954","Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,2,9,0.6,6,0.6,16,9,7,0,0
"wc_1958","Argentina",4,3,0,1,9,0.75,6,0.75,10,2,8,3,1,0,2,3,0.333333333333333,2,0.333333333333333,5,10,-5,0,0
"wc_1958","Austria",4,3,1,0,10,0.833333333333333,7,0.875,14,3,11,3,0,1,2,1,0.111111111111111,1,0.166666666666667,2,7,-5,0,0
"wc_1958","Brazil",2,1,1,0,4,0.666666666666667,3,0.75,2,1,1,6,5,1,0,16,0.888888888888889,11,0.916666666666667,16,4,12,0,1
"wc_1958","Czech Republic/CSFR",4,3,0,1,9,0.75,6,0.75,9,3,6,4,1,1,2,4,0.333333333333333,3,0.375,9,6,3,0,0
"wc_1958","England",4,3,1,0,10,0.833333333333333,7,0.875,15,5,10,4,0,3,1,3,0.25,3,0.375,4,5,-1,0,0
"wc_1958","France",4,3,1,0,10,0.833333333333333,7,0.875,19,4,15,6,4,0,2,12,0.666666666666667,8,0.666666666666667,23,15,8,0,0
"wc_1958","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,8,0.444444444444444,6,0.5,12,14,-2,0,0
"wc_1958","Hungary",4,3,0,1,9,0.75,6,0.75,12,4,8,4,1,1,2,4,0.333333333333333,3,0.375,7,5,2,0,0
"wc_1958","Mexico",6,5,1,0,16,0.888888888888889,11,0.916666666666667,21,3,18,3,0,1,2,1,0.111111111111111,1,0.166666666666667,1,8,-7,0,0
"wc_1958","Northern Ireland",4,2,1,1,7,0.583333333333333,5,0.625,6,3,3,5,2,1,2,7,0.466666666666667,5,0.5,6,10,-4,0,0
"wc_1958","Paraguay",4,3,0,1,9,0.75,6,0.75,11,4,7,3,1,1,1,4,0.444444444444444,3,0.5,9,12,-3,0,0
"wc_1958","Russia/USSR",5,4,0,1,12,0.8,8,0.8,18,3,15,5,2,1,2,7,0.466666666666667,5,0.5,5,6,-1,0,0
"wc_1958","Scotland",4,3,0,1,9,0.75,6,0.75,10,9,1,3,0,1,2,1,0.111111111111111,1,0.166666666666667,4,6,-2,0,0
"wc_1958","Serbia/Yugoslavia",4,2,2,0,8,0.666666666666667,6,0.75,7,2,5,4,1,2,1,5,0.416666666666667,4,0.5,7,7,0,0,0
"wc_1958","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,1,13,0.722222222222222,9,0.75,12,7,5,1,0
"wc_1958","Wales",6,4,0,2,12,0.666666666666667,8,0.666666666666667,10,5,5,5,1,3,1,6,0.4,5,0.5,4,4,0,0,0
"wc_1962","Argentina",2,2,0,0,6,1,4,1,11,3,8,3,1,1,1,4,0.444444444444444,3,0.5,2,3,-1,0,0
"wc_1962","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,0,16,0.888888888888889,11,0.916666666666667,14,5,9,0,1
"wc_1962","Bulgaria",5,4,0,1,12,0.8,8,0.8,7,4,3,3,0,1,2,1,0.111111111111111,1,0.166666666666667,1,7,-6,0,0
"wc_1962","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,0,2,12,0.666666666666667,8,0.666666666666667,10,8,2,1,0
"wc_1962","Colombia",2,1,1,0,4,0.666666666666667,3,0.75,2,1,1,3,0,1,2,1,0.111111111111111,1,0.166666666666667,5,11,-6,0,0
"wc_1962","Czech Republic/CSFR",5,4,0,1,12,0.8,8,0.8,20,7,13,6,3,1,2,10,0.555555555555556,7,0.583333333333333,7,7,0,0,0
"wc_1962","England",4,3,1,0,10,0.833333333333333,7,0.875,16,2,14,4,1,1,2,4,0.333333333333333,3,0.375,5,6,-1,0,0
"wc_1962","Germany",4,4,0,0,12,1,8,1,11,5,6,4,2,1,1,7,0.583333333333333,5,0.625,4,2,2,0,0
"wc_1962","Hungary",4,3,1,0,10,0.833333333333333,7,0.875,11,5,6,4,2,1,1,7,0.583333333333333,5,0.625,8,3,5,0,0
"wc_1962","Italy",2,2,0,0,6,1,4,1,10,2,8,3,1,1,1,4,0.444444444444444,3,0.5,3,2,1,0,0
"wc_1962","Mexico",8,4,3,1,15,0.625,11,0.6875,18,5,13,3,1,0,2,3,0.333333333333333,2,0.333333333333333,3,4,-1,0,0
"wc_1962","Russia/USSR",4,4,0,0,12,1,8,1,11,3,8,4,2,1,1,7,0.583333333333333,5,0.625,9,7,2,0,0
"wc_1962","Serbia/Yugoslavia",4,3,1,0,10,0.833333333333333,7,0.875,11,4,7,6,3,0,3,9,0.5,6,0.5,10,7,3,0,0
"wc_1962","Spain",4,3,1,0,10,0.833333333333333,7,0.875,7,4,3,3,1,0,2,3,0.333333333333333,2,0.333333333333333,2,3,-1,0,0
"wc_1962","Switzerland",5,4,0,1,12,0.8,8,0.8,11,10,1,3,0,0,3,0,0,0,0,2,8,-6,0,0
"wc_1962","Uruguay",2,1,1,0,4,0.666666666666667,3,0.75,3,2,1,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,6,-2,0,0
"wc_1966","Argentina",4,3,1,0,10,0.833333333333333,7,0.875,9,2,7,4,2,1,1,7,0.583333333333333,5,0.625,4,2,2,0,0
"wc_1966","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,6,-2,0,0
"wc_1966","Bulgaria",5,4,0,1,12,0.8,8,0.8,11,7,4,3,0,0,3,0,0,0,0,1,8,-7,0,0
"wc_1966","Chile",5,3,1,1,10,0.666666666666667,7,0.7,14,8,6,3,0,1,2,1,0.111111111111111,1,0.166666666666667,2,5,-3,0,0
"wc_1966","England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,0,16,0.888888888888889,11,0.916666666666667,11,3,8,1,1
"wc_1966","France",6,5,0,1,15,0.833333333333333,10,0.833333333333333,9,2,7,3,0,1,2,1,0.111111111111111,1,0.166666666666667,2,5,-3,0,0
"wc_1966","Germany",4,3,1,0,10,0.833333333333333,7,0.875,14,2,12,6,4,1,1,13,0.722222222222222,9,0.75,15,6,9,0,0
"wc_1966","Hungary",4,3,1,0,10,0.833333333333333,7,0.875,8,3,5,4,2,0,2,6,0.5,4,0.5,8,7,1,0,0
"wc_1966","Italy",6,4,1,1,13,0.722222222222222,9,0.75,17,3,14,3,1,0,2,3,0.333333333333333,2,0.333333333333333,2,2,0,0,0
"wc_1966","Mexico",8,6,2,0,20,0.833333333333333,14,0.875,20,4,16,3,0,2,1,2,0.222222222222222,2,0.333333333333333,1,3,-2,0,0
"wc_1966","North Korea",2,2,0,0,6,1,4,1,9,2,7,4,1,1,2,4,0.333333333333333,3,0.375,5,9,-4,0,0
"wc_1966","Portugal",6,4,1,1,13,0.722222222222222,9,0.75,9,4,5,6,5,0,1,15,0.833333333333333,10,0.833333333333333,17,8,9,0,0
"wc_1966","Russia/USSR",6,5,0,1,15,0.833333333333333,10,0.833333333333333,19,6,13,6,4,0,2,12,0.666666666666667,8,0.666666666666667,10,6,4,0,0
"wc_1966","Spain",3,2,0,1,6,0.666666666666667,4,0.666666666666667,5,2,3,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,5,-1,0,0
"wc_1966","Switzerland",6,4,1,1,13,0.722222222222222,9,0.75,7,3,4,3,0,0,3,0,0,0,0,1,9,-8,0,0
"wc_1966","Uruguay",4,4,0,0,12,1,8,1,11,2,9,4,1,2,1,5,0.416666666666667,4,0.5,2,5,-3,0,0
"wc_1970","Belgium",6,4,1,1,13,0.722222222222222,9,0.75,14,8,6,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,5,-1,0,0
"wc_1970","Brazil",6,6,0,0,18,1,12,1,23,2,21,6,6,0,0,18,1,12,1,19,7,12,0,1
"wc_1970","Bulgaria",6,4,1,1,13,0.722222222222222,9,0.75,12,7,5,3,0,1,2,1,0.111111111111111,1,0.166666666666667,5,9,-4,0,0
"wc_1970","Czech Republic/CSFR",7,5,1,1,16,0.761904761904762,11,0.785714285714286,16,7,9,3,0,0,3,0,0,0,0,2,7,-5,0,0
"wc_1970","El Salvador",4,2,0,2,6,0.5,4,0.5,5,7,-2,3,0,0,3,0,0,0,0,0,9,-9,0,0
"wc_1970","England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,2,6,0.5,4,0.5,4,4,0,0,0
"wc_1970","Germany",6,5,1,0,16,0.888888888888889,11,0.916666666666667,20,3,17,6,5,0,1,15,0.833333333333333,10,0.833333333333333,17,10,7,0,0
"wc_1970","Israel",4,3,1,0,10,0.833333333333333,7,0.875,8,1,7,3,0,2,1,2,0.222222222222222,2,0.333333333333333,1,3,-2,0,0
"wc_1970","Italy",4,3,1,0,10,0.833333333333333,7,0.875,10,3,7,6,3,2,1,11,0.611111111111111,8,0.666666666666667,10,8,2,0,0
"wc_1970","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,7,0.583333333333333,5,0.625,6,4,2,1,0
"wc_1970","Morocco",10,4,4,2,16,0.533333333333333,12,0.6,11,7,4,3,0,1,2,1,0.111111111111111,1,0.166666666666667,2,6,-4,0,0
"wc_1970","Peru",4,2,1,1,7,0.583333333333333,5,0.625,7,4,3,4,2,0,2,6,0.5,4,0.5,9,9,0,0,0
"wc_1970","Romania",6,3,2,1,11,0.611111111111111,8,0.666666666666667,7,6,1,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,5,-1,0,0
"wc_1970","Russia/USSR",4,3,1,0,10,0.833333333333333,7,0.875,8,1,7,4,2,1,1,7,0.583333333333333,5,0.625,6,2,4,0,0
"wc_1970","Sweden",4,3,0,1,9,0.75,6,0.75,12,5,7,3,1,1,1,4,0.444444444444444,3,0.5,2,2,0,0,0
"wc_1970","Uruguay",4,3,1,0,10,0.833333333333333,7,0.875,5,0,5,6,2,1,3,7,0.388888888888889,5,0.416666666666667,4,5,-1,0,0
"wc_1974","Argentina",4,3,1,0,10,0.833333333333333,7,0.875,9,2,7,6,1,2,3,5,0.277777777777778,4,0.333333333333333,9,12,-3,0,0
"wc_1974","Australia",11,5,5,1,20,0.606060606060606,15,0.681818181818182,21,10,11,3,0,1,2,1,0.111111111111111,1,0.166666666666667,0,5,-5,0,0
"wc_1974","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,2,11,0.523809523809524,8,0.571428571428571,6,4,2,0,0
"wc_1974","Bulgaria",6,4,2,0,14,0.777777777777778,10,0.833333333333333,13,3,10,3,0,2,1,2,0.222222222222222,2,0.333333333333333,2,5,-3,0,0
"wc_1974","Chile",4,2,1,1,7,0.583333333333333,5,0.625,4,3,1,3,0,2,1,2,0.222222222222222,2,0.333333333333333,1,2,-1,0,0
"wc_1974","DRC/Zaire",10,7,1,2,22,0.733333333333333,15,0.75,18,4,14,3,0,0,3,0,0,0,0,0,14,-14,0,0
"wc_1974","German Dem. Rep. (East Germany)",6,5,0,1,15,0.833333333333333,10,0.833333333333333,18,3,15,6,2,2,2,8,0.444444444444444,6,0.5,5,5,0,0,0
"wc_1974","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,0,1,18,0.857142857142857,12,0.857142857142857,13,4,9,1,1
"wc_1974","Haiti",7,6,0,1,18,0.857142857142857,12,0.857142857142857,20,3,17,3,0,0,3,0,0,0,0,2,14,-12,0,0
"wc_1974","Italy",6,4,2,0,14,0.777777777777778,10,0.833333333333333,12,0,12,3,1,1,1,4,0.444444444444444,3,0.5,5,4,1,0,0
"wc_1974","Netherlands",6,4,2,0,14,0.777777777777778,10,0.833333333333333,24,2,22,7,5,1,1,16,0.761904761904762,11,0.785714285714286,15,3,12,0,0
"wc_1974","Poland",4,2,1,1,7,0.583333333333333,5,0.625,6,3,3,7,6,0,1,18,0.857142857142857,12,0.857142857142857,16,5,11,0,0
"wc_1974","Scotland",4,3,0,1,9,0.75,6,0.75,8,3,5,3,1,2,0,5,0.555555555555556,4,0.666666666666667,3,1,2,0,0
"wc_1974","Serbia/Yugoslavia",5,3,2,0,11,0.733333333333333,8,0.8,8,4,4,6,1,2,3,5,0.277777777777778,4,0.333333333333333,12,7,5,0,0
"wc_1974","Sweden",7,4,2,1,14,0.666666666666667,10,0.714285714285714,17,9,8,6,2,2,2,8,0.444444444444444,6,0.5,7,6,1,0,0
